Repo,Github url,Stars,Contributors,Ref. Commit,Years,#Methods,#Files,TtlSLOC,TtlRevisions
sonarqube,SonarSource/sonarqube,5937,137,39abd3de73733b18e99c5e81ab7f2dec45d9aec7,10.81917808,130333,7293,517951,249504
flink,apache/flink,16764,908,6a8b0301170f9d2d668e72c5a2b41c1fb4c49c16,10.14794521,118815,11282,1259298,227872
wildfly,wildfly/wildfly,2593,343,a9e061675ea9b3ebebfc9eb01d809f4a092ded55,10.85205479,112098,10081,616780,153071
hibernate-orm,hibernate/hibernate-orm,4678,420,cfc7b972501bf26713098abbbc36265a9b1ed46d,13.59726027,95135,10260,779669,179706
spring-framework,spring-projects/spring-framework,43641,544,42061d27bdac076079a3b153b6d73dd10f82db5e,12.3369863,90138,7512,696598,243270
docx4j,plutext/docx4j,1620,37,26aaa13fe,13.19726027,68568,3897,321657,96542
RxJava,ReactiveX/RxJava,44922,278,82f489e1d3ca71ebf0aedc9daf087f4e403db2cb,9.063013699,68428,1870,312499,96018
guava,google/guava,41775,264,eec5e6d762357ec10f08af0d8aa12622081255fd,11.69863014,66468,1979,377142,68277
soot,soot-oss/soot,1860,109,beb5a98be5402b15ff1886af6b40529ee7c8cf58,24.39452055,66256,3684,391457,103727
jetty.project,eclipse/jetty.project,3160,159,4c67b886a4f3ef61392a1cf70184105949b15c88,11.89589041,51534,2948,429856,109289
spring-boot,spring-projects/spring-boot,56378,828,7a3bd6d44f,8.295890411,49025,5674,330089,117460
assertj-core,assertj/assertj-core,1981,259,f8730b34cb54c655e81a37ea42166b5793202b0e,11,48611,4466,192774,61390
drill,apache/drill,1562,168,771c81194ab49a9fbdcdf344259eb0f57c62cff0,9.246575342,48539,4289,576427,56317
wicket,apache/wicket,570,83,e8cdd56db3,16.47123288,46598,3256,216748,147121
hibernate-search,hibernate/hibernate-search,390,58,994cb9e827,13.47671233,42596,4044,263523,136040
netty,netty/netty,27185,526,6724786dcc9fa38ba516dab97a04e2bbc17e81d9,12.65479452,38016,2700,300383,68104
ant,apache/ant,303,58,5f8c6370a,21.05753425,33616,1317,145017,78089
pmd,pmd/pmd,3482,229,848ec2e7bb,18.63835616,31604,2832,142831,108589
mongo-java-driver,mongodb/mongo-java-driver,2422,151,38117f16f6df7b2e9894d7a8e92e64179e74244f,11.85479452,27991,1648,133717,74750
antlr4,antlr/antlr4,10306,259,dc66788476a7e98755bdc45f26affecaba6d2b71,11.31232877,27909,652,56952,22107
DSpace,DSpace/DSpace,573,146,3c1b90d60395f89041ae20f01229907f25e74f37,19.20273973,26394,2551,261003,61574
openmrs-core,openmrs/openmrs-core,1017,371,ffcc19911bea2f7303c0fad87069c49e64e40eca,15.18082192,24382,1149,126645,63931
fastjson,alibaba/fastjson,23594,173,9b8b18677,9.652054795,20768,2982,179371,9460
javaparser,javaparser/javaparser,3771,157,1ce7d85c2,9.273972603,20309,1651,175026,72545
