corr,p_value,significant,correlation of,repo,Methods considered
0.16,1.26E-175,yes,avgSLOC_with_bugs,ant,all
0.01,0.2221380945,no,avgSLOC_with_bugs,antlr4,all
0.08,2.36E-65,yes,avgSLOC_with_bugs,assertj-core,all
0.08,1.62E-11,yes,avgSLOC_with_bugs,astyanax,all
0.29,8.81E-153,yes,avgSLOC_with_bugs,atmosphere,all
0.2,9.08E-172,yes,avgSLOC_with_bugs,checkstyle,all
0.08,6.76E-09,yes,avgSLOC_with_bugs,commons-io,all
0.12,5.28E-59,yes,avgSLOC_with_bugs,commons-lang,all
0.18,1.55E-66,yes,avgSLOC_with_bugs,cucumber-jvm,all
0.12,4.60E-212,yes,avgSLOC_with_bugs,docx4j,all
0.22,0,yes,avgSLOC_with_bugs,drill,all
0.26,0,yes,avgSLOC_with_bugs,DSpace,all
0.3,1.51E-127,yes,avgSLOC_with_bugs,Essentials,all
0.19,1.31E-177,yes,avgSLOC_with_bugs,fastjson,all
0.2,0,yes,avgSLOC_with_bugs,flink,all
0.11,2.27E-21,yes,avgSLOC_with_bugs,flyway,all
0.13,1.52E-17,yes,avgSLOC_with_bugs,gson,all
0.22,0,yes,avgSLOC_with_bugs,guava,all
0.1,4.21E-13,yes,avgSLOC_with_bugs,hawtio,all
0.25,5.77E-57,yes,avgSLOC_with_bugs,hector,all
0.14,0,yes,avgSLOC_with_bugs,hibernate-orm,all
0.15,6.89E-118,yes,avgSLOC_with_bugs,hibernate-search,all
0.24,1.97E-84,yes,avgSLOC_with_bugs,Hystrix,all
0.11,2.77E-64,yes,avgSLOC_with_bugs,javaparser,all
0.3,0,yes,avgSLOC_with_bugs,jetty.project,all
0,0.5066555528,no,avgSLOC_with_bugs,jgit,all
0.18,3.43E-49,yes,avgSLOC_with_bugs,jna,all
0.11,1.11E-18,yes,avgSLOC_with_bugs,junit4,all
0.16,1.88E-58,yes,avgSLOC_with_bugs,junit5,all
0.15,2.56E-89,yes,avgSLOC_with_bugs,logging-log4j2,all
0.16,2.37E-47,yes,avgSLOC_with_bugs,lombok,all
0.1,4.22E-27,yes,avgSLOC_with_bugs,mockito,all
0.14,6.49E-102,yes,avgSLOC_with_bugs,mongo-java-driver,all
0.25,1.21E-148,yes,avgSLOC_with_bugs,mybatis-3,all
0.28,0,yes,avgSLOC_with_bugs,netty,all
0.28,1.80E-128,yes,avgSLOC_with_bugs,okhttp,all
0.14,2.67E-115,yes,avgSLOC_with_bugs,openmrs-core,all
0.21,0,yes,avgSLOC_with_bugs,pmd,all
0.09,2.25E-11,yes,avgSLOC_with_bugs,rabbitmq-java-client,all
0.18,4.23E-237,yes,avgSLOC_with_bugs,RxJava,all
0.16,0,yes,avgSLOC_with_bugs,sonarqube,all
0.05,2.01E-38,yes,avgSLOC_with_bugs,soot,all
0.09,0.0003708117939,yes,avgSLOC_with_bugs,spark,all
0.15,5.99E-216,yes,avgSLOC_with_bugs,spring-boot,all
0.14,0,yes,avgSLOC_with_bugs,spring-framework,all
0.15,2.18E-45,yes,avgSLOC_with_bugs,swagger-core,all
0.25,6.34E-122,yes,avgSLOC_with_bugs,titan,all
0.19,1.39E-48,yes,avgSLOC_with_bugs,truth,all
0.32,2.00E-117,yes,avgSLOC_with_bugs,Twitter4J,all
0.22,8.37E-162,yes,avgSLOC_with_bugs,voldemort,all
0.18,1.60E-43,yes,avgSLOC_with_bugs,vraptor4,all
0.06,7.38E-39,yes,avgSLOC_with_bugs,wicket,all
0.19,0,yes,avgSLOC_with_bugs,wildfly,all
0.21,0,yes,avgSLOC_with_revisions,ant,all
-0.1,3.25E-77,yes,avgSLOC_with_revisions,antlr4,all
0.17,0,yes,avgSLOC_with_revisions,assertj-core,all
0.1,4.65E-22,yes,avgSLOC_with_revisions,astyanax,all
0.3,1.68E-167,yes,avgSLOC_with_revisions,atmosphere,all
0.26,0,yes,avgSLOC_with_revisions,checkstyle,all
0.12,5.72E-20,yes,avgSLOC_with_revisions,commons-io,all
0.11,1.24E-61,yes,avgSLOC_with_revisions,commons-lang,all
0.2,2.47E-100,yes,avgSLOC_with_revisions,cucumber-jvm,all
0.21,0,yes,avgSLOC_with_revisions,docx4j,all
0.24,0,yes,avgSLOC_with_revisions,drill,all
0.29,0,yes,avgSLOC_with_revisions,DSpace,all
0.23,1.15E-91,yes,avgSLOC_with_revisions,Essentials,all
0.28,0,yes,avgSLOC_with_revisions,fastjson,all
0.19,0,yes,avgSLOC_with_revisions,flink,all
0.14,4.55E-31,yes,avgSLOC_with_revisions,flyway,all
0.14,2.70E-23,yes,avgSLOC_with_revisions,gson,all
0.2,0,yes,avgSLOC_with_revisions,guava,all
0.05,0.0002328149507,yes,avgSLOC_with_revisions,hawtio,all
0.26,3.49E-70,yes,avgSLOC_with_revisions,hector,all
0.1,9.81E-263,yes,avgSLOC_with_revisions,hibernate-orm,all
0.22,0,yes,avgSLOC_with_revisions,hibernate-search,all
0.28,1.74E-129,yes,avgSLOC_with_revisions,Hystrix,all
0.21,4.81E-274,yes,avgSLOC_with_revisions,javaparser,all
0.32,0,yes,avgSLOC_with_revisions,jetty.project,all
0.2,7.81E-206,yes,avgSLOC_with_revisions,jgit,all
0.12,1.01E-26,yes,avgSLOC_with_revisions,jna,all
0.03,0.006224828137,yes,avgSLOC_with_revisions,junit4,all
0.21,1.36E-123,yes,avgSLOC_with_revisions,junit5,all
0.24,6.08E-298,yes,avgSLOC_with_revisions,logging-log4j2,all
0.23,1.74E-105,yes,avgSLOC_with_revisions,lombok,all
0.1,1.35E-30,yes,avgSLOC_with_revisions,mockito,all
0.17,1.10E-172,yes,avgSLOC_with_revisions,mongo-java-driver,all
0.25,1.33E-177,yes,avgSLOC_with_revisions,mybatis-3,all
0.27,0,yes,avgSLOC_with_revisions,netty,all
0.26,1.18E-141,yes,avgSLOC_with_revisions,okhttp,all
0.12,2.66E-100,yes,avgSLOC_with_revisions,openmrs-core,all
0.22,0,yes,avgSLOC_with_revisions,pmd,all
0.24,2.47E-76,yes,avgSLOC_with_revisions,rabbitmq-java-client,all
0.26,0,yes,avgSLOC_with_revisions,RxJava,all
0.23,0,yes,avgSLOC_with_revisions,sonarqube,all
0.12,2.00E-267,yes,avgSLOC_with_revisions,soot,all
0.05,0.04570099412,yes,avgSLOC_with_revisions,spark,all
0.24,0,yes,avgSLOC_with_revisions,spring-boot,all
0.24,0,yes,avgSLOC_with_revisions,spring-framework,all
0.13,1.13E-37,yes,avgSLOC_with_revisions,swagger-core,all
0.26,1.52E-130,yes,avgSLOC_with_revisions,titan,all
0.27,9.33E-113,yes,avgSLOC_with_revisions,truth,all
0.22,3.30E-72,yes,avgSLOC_with_revisions,Twitter4J,all
0.3,0,yes,avgSLOC_with_revisions,voldemort,all
0.13,5.79E-26,yes,avgSLOC_with_revisions,vraptor4,all
0.06,2.07E-44,yes,avgSLOC_with_revisions,wicket,all
0.23,0,yes,avgSLOC_with_revisions,wildfly,all
0.15,2.47E-146,yes,introSLOC_with_bugs,ant,all
-0.01,0.01884359591,yes,introSLOC_with_bugs,antlr4,all
0.07,5.27E-55,yes,introSLOC_with_bugs,assertj-core,all
0.04,0.0003903359617,yes,introSLOC_with_bugs,astyanax,all
0.25,1.40E-108,yes,introSLOC_with_bugs,atmosphere,all
0.2,3.73E-157,yes,introSLOC_with_bugs,checkstyle,all
0.07,3.64E-07,yes,introSLOC_with_bugs,commons-io,all
0.1,1.33E-41,yes,introSLOC_with_bugs,commons-lang,all
0.15,5.61E-44,yes,introSLOC_with_bugs,cucumber-jvm,all
0.12,7.53E-200,yes,introSLOC_with_bugs,docx4j,all
0.19,0,yes,introSLOC_with_bugs,drill,all
0.23,0,yes,introSLOC_with_bugs,DSpace,all
0.3,1.28E-124,yes,introSLOC_with_bugs,Essentials,all
0.17,1.73E-149,yes,introSLOC_with_bugs,fastjson,all
0.18,0,yes,introSLOC_with_bugs,flink,all
0.08,1.11E-11,yes,introSLOC_with_bugs,flyway,all
0.1,4.62E-11,yes,introSLOC_with_bugs,gson,all
0.22,0,yes,introSLOC_with_bugs,guava,all
0.07,1.05E-07,yes,introSLOC_with_bugs,hawtio,all
0.2,4.04E-37,yes,introSLOC_with_bugs,hector,all
0.14,0,yes,introSLOC_with_bugs,hibernate-orm,all
0.13,6.44E-90,yes,introSLOC_with_bugs,hibernate-search,all
0.22,2.22E-70,yes,introSLOC_with_bugs,Hystrix,all
0.04,2.58E-08,yes,introSLOC_with_bugs,javaparser,all
0.28,0,yes,introSLOC_with_bugs,jetty.project,all
-0.01,0.05480137078,no,introSLOC_with_bugs,jgit,all
0.16,2.64E-37,yes,introSLOC_with_bugs,jna,all
0.11,9.45E-17,yes,introSLOC_with_bugs,junit4,all
0.14,2.78E-45,yes,introSLOC_with_bugs,junit5,all
0.13,4.21E-69,yes,introSLOC_with_bugs,logging-log4j2,all
0.14,6.98E-35,yes,introSLOC_with_bugs,lombok,all
0.1,2.50E-24,yes,introSLOC_with_bugs,mockito,all
0.11,7.68E-60,yes,introSLOC_with_bugs,mongo-java-driver,all
0.23,1.42E-134,yes,introSLOC_with_bugs,mybatis-3,all
0.25,0,yes,introSLOC_with_bugs,netty,all
0.26,4.40E-110,yes,introSLOC_with_bugs,okhttp,all
0.12,8.67E-91,yes,introSLOC_with_bugs,openmrs-core,all
0.19,9.64E-266,yes,introSLOC_with_bugs,pmd,all
0.09,3.33E-10,yes,introSLOC_with_bugs,rabbitmq-java-client,all
0.17,2.02E-214,yes,introSLOC_with_bugs,RxJava,all
0.15,0,yes,introSLOC_with_bugs,sonarqube,all
0.01,0.0006823249667,yes,introSLOC_with_bugs,soot,all
0.08,0.001405124328,yes,introSLOC_with_bugs,spark,all
0.13,3.14E-159,yes,introSLOC_with_bugs,spring-boot,all
0.13,0,yes,introSLOC_with_bugs,spring-framework,all
0.14,2.92E-38,yes,introSLOC_with_bugs,swagger-core,all
0.23,3.44E-96,yes,introSLOC_with_bugs,titan,all
0.16,3.01E-33,yes,introSLOC_with_bugs,truth,all
0.31,7.93E-114,yes,introSLOC_with_bugs,Twitter4J,all
0.2,1.26E-125,yes,introSLOC_with_bugs,voldemort,all
0.17,2.98E-38,yes,introSLOC_with_bugs,vraptor4,all
0.03,2.93E-08,yes,introSLOC_with_bugs,wicket,all
0.16,0,yes,introSLOC_with_bugs,wildfly,all
0.19,4.38E-278,yes,introSLOC_with_revisions,ant,all
-0.11,1.33E-100,yes,introSLOC_with_revisions,antlr4,all
0.17,0,yes,introSLOC_with_revisions,assertj-core,all
0.06,1.13E-08,yes,introSLOC_with_revisions,astyanax,all
0.24,2.09E-111,yes,introSLOC_with_revisions,atmosphere,all
0.26,0,yes,introSLOC_with_revisions,checkstyle,all
0.1,2.09E-14,yes,introSLOC_with_revisions,commons-io,all
0.1,1.49E-45,yes,introSLOC_with_revisions,commons-lang,all
0.17,3.16E-73,yes,introSLOC_with_revisions,cucumber-jvm,all
0.2,0,yes,introSLOC_with_revisions,docx4j,all
0.21,0,yes,introSLOC_with_revisions,drill,all
0.26,0,yes,introSLOC_with_revisions,DSpace,all
0.22,6.06E-78,yes,introSLOC_with_revisions,Essentials,all
0.26,0,yes,introSLOC_with_revisions,fastjson,all
0.18,0,yes,introSLOC_with_revisions,flink,all
0.11,1.31E-19,yes,introSLOC_with_revisions,flyway,all
0.11,1.60E-13,yes,introSLOC_with_revisions,gson,all
0.2,0,yes,introSLOC_with_revisions,guava,all
0.03,0.02561251304,yes,introSLOC_with_revisions,hawtio,all
0.2,1.17E-43,yes,introSLOC_with_revisions,hector,all
0.09,1.71E-194,yes,introSLOC_with_revisions,hibernate-orm,all
0.2,5.26E-283,yes,introSLOC_with_revisions,hibernate-search,all
0.26,2.51E-110,yes,introSLOC_with_revisions,Hystrix,all
0.14,1.82E-125,yes,introSLOC_with_revisions,javaparser,all
0.29,0,yes,introSLOC_with_revisions,jetty.project,all
0.18,1.90E-166,yes,introSLOC_with_revisions,jgit,all
0.11,1.28E-20,yes,introSLOC_with_revisions,jna,all
0.01,0.4252577261,no,introSLOC_with_revisions,junit4,all
0.19,5.01E-99,yes,introSLOC_with_revisions,junit5,all
0.22,3.98E-238,yes,introSLOC_with_revisions,logging-log4j2,all
0.21,5.82E-85,yes,introSLOC_with_revisions,lombok,all
0.1,2.36E-28,yes,introSLOC_with_revisions,mockito,all
0.13,2.71E-109,yes,introSLOC_with_revisions,mongo-java-driver,all
0.25,6.35E-181,yes,introSLOC_with_revisions,mybatis-3,all
0.25,0,yes,introSLOC_with_revisions,netty,all
0.23,4.37E-109,yes,introSLOC_with_revisions,okhttp,all
0.11,2.18E-97,yes,introSLOC_with_revisions,openmrs-core,all
0.2,0,yes,introSLOC_with_revisions,pmd,all
0.23,9.98E-67,yes,introSLOC_with_revisions,rabbitmq-java-client,all
0.25,0,yes,introSLOC_with_revisions,RxJava,all
