d,size,w,p_value,significant,grp1 correlation values,grp2 correlation values
1,large,2279,4.63E-17,yes,stdSLOC_with_revisions,versioned_sloc_with_revisions
-0.9633321467,large,51.5,1.24E-17,yes,medianSLOC_with_revisions,stdSLOC_with_revisions
0.8595875384,large,2119,5.31E-13,yes,medianSLOC_with_revisions,versioned_sloc_with_revisions
-0.9743681025,large,36,5.26E-18,yes,lastSLOC_with_revisions,stdSLOC_with_revisions
0.8363317244,large,2092.5,2.17E-12,yes,lastSLOC_with_revisions,versioned_sloc_with_revisions
-0.1317194731,negligible,1219.5,0.2431929742,no,lastSLOC_with_revisions,avgSLOC_with_revisions
-0.08045567818,negligible,1291.5,0.476651882,no,lastSLOC_with_revisions,medianSLOC_with_revisions
-0.9800640797,large,28,3.39E-18,yes,introSLOC_with_revisions,stdSLOC_with_revisions
0.8236068451,large,2078,4.64E-12,yes,introSLOC_with_revisions,versioned_sloc_with_revisions
-0.09825560698,negligible,1266.5,0.384468383,no,introSLOC_with_revisions,lastSLOC_with_revisions
-0.2103951584,small,1109,0.06207312434,no,introSLOC_with_revisions,avgSLOC_with_revisions
-0.1626913492,small,1176,0.1493230849,no,introSLOC_with_revisions,medianSLOC_with_revisions
-0.9629761481,large,52,1.26E-17,yes,avgSLOC_with_revisions,stdSLOC_with_revisions
0.8740675735,large,2135.5,2.14E-13,yes,avgSLOC_with_revisions,versioned_sloc_with_revisions
0.05161979352,negligible,1477,0.6487509025,no,avgSLOC_with_revisions,medianSLOC_with_revisions
-0.09754360983,negligible,1267.5,0.387845517,no,introSLOC_with_bugs,lastSLOC_with_bugs
-0.166251335,small,1171,0.1403879362,no,introSLOC_with_bugs,avgSLOC_with_bugs
-0.1374154503,negligible,1211.5,0.223303378,no,introSLOC_with_bugs,medianSLOC_with_bugs
-0.8038447846,large,275.5,9.75E-13,yes,introSLOC_with_bugs,stdSLOC_with_bugs
-0.07262370951,negligible,1302.5,0.5206724633,no,lastSLOC_with_bugs,avgSLOC_with_bugs
-0.04485582058,negligible,1341.5,0.6925133024,no,lastSLOC_with_bugs,medianSLOC_with_bugs
-0.7828408686,large,305,3.72E-12,yes,lastSLOC_with_bugs,stdSLOC_with_bugs
0.03061587754,negligible,1447.5,0.7879682316,no,avgSLOC_with_bugs,medianSLOC_with_bugs
-0.7404770381,large,364.5,4.96E-11,yes,avgSLOC_with_bugs,stdSLOC_with_bugs
-0.7536489854,large,346,2.25E-11,yes,medianSLOC_with_bugs,stdSLOC_with_bugs
0.5430680886,large,1881,3.37E-06,yes,introSLOC_with_bugs,versioned_sloc_with_bugs
0.6283839212,large,1985,7.62E-08,yes,lastSLOC_with_bugs,versioned_sloc_with_bugs
0.6402789171,large,1999.5,4.30E-08,yes,medianSLOC_with_bugs,versioned_sloc_with_bugs
0.6718621821,large,2038,8.99E-09,yes,avgSLOC_with_bugs,versioned_sloc_with_bugs
0.9528301887,large,2380.5,3.64E-16,yes,stdSLOC_with_bugs,versioned_sloc_with_bugs
